Cod_setor;Situacao_setor;V001;V002;V003
350190505000039;1;136;0;0
350190505000040;1;126;0;0
350190505000041;1;110;0;0
350190505000042;2;17;0;0
350190505000043;1;129;0;0
350190505000044;2;96;0;0
350190505000045;2;78;0;0
350190505000046;2;124;0;0
350190505000047;2;68;0;0
350190505000048;2;78;0;0
350190505000049;2;62;0;0
350190505000050;2;146;0;0
350190505000051;1;115;0;0
350190505000052;1;250;0;0
350190505000053;2;0;0;0
350190505000054;2;103;0;0
350190505000055;8;33;0;0
350190505000056;8;67;0;0
350190505000057;8;63;0;0
350190505000058;8;113;0;0
350190505000059;8;51;0;0
350190505000060;8;100;0;0
350190505000061;8;47;0;0
350190505000062;8;59;0;0
350190505000063;8;70;0;0
350190505000064;8;76;0;0
350190505000065;8;62;0;0
350190505000066;8;32;0;0
350190505000067;1;55;0;0
350190505000068;1;74;1;0
350190505000069;1;69;0;0
350190505000070;1;134;0;0
350190505000071;1;118;0;0
350190505000072;1;162;0;0
350190505000073;1;280;0;0
350190505000074;1;25;0;0
350190505000075;1;107;0;0
350190505000076;1;169;0;0
350190505000078;3;26;0;0
350190505000079;3;58;0;0
350190505000080;3;10;0;0
350190505000081;3;143;0;0
350190505000082;3;5;0;0
350190505000083;3;0;X;X
350190505000084;3;210;0;0
350190505000085;3;2;0;0
350190505000086;3;7;0;0
350190505000087;3;0;0;0
350190510000001;1;191;0;0
350190510000002;1;64;0;0
350190510000003;4;172;0;0
350190510000004;4;167;0;0
350190510000005;4;116;0;0
350190510000006;4;231;0;0
350190510000007;4;179;0;0
350190510000008;4;153;0;0
350190510000009;8;51;0;0
350190510000010;4;165;0;0
350190510000011;8;53;0;0
350190510000012;8;64;0;0
350190510000013;8;27;0;0
350190510000014;3;12;0;0
350190510000015;3;54;0;0
350190510000016;3;4;0;0
350190515000001;1;146;0;0
350190515000002;8;80;0;0
350190515000003;3;36;0;0
350200205000001;1;44;0;0
350200205000002;1;37;0;0
350200205000003;1;26;0;0
350200205000004;1;148;0;0
350200205000005;1;26;1;0
350200205000006;1;73;0;0
350200205000007;8;54;0;0
350200205000008;8;34;0;0
350200205000009;8;68;0;0
350200205000012;8;8;0;0
350200205000013;1;12;0;0
350200205000014;1;140;0;0
350200205000015;5;6;0;0
350210105000001;1;32;0;0
350210105000002;1;33;0;0
350210105000003;1;65;0;0
350210105000004;1;43;0;0
350210105000005;1;123;0;0
350210105000006;1;62;0;0
350210105000007;1;57;0;0
