Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Jundiaí;  633 273 ;  41 467 ;  42 426 ;  48 076 ;  29 336 ;  20 342 ;  56 919 ;Jundiaí;  60 399 ;  55 986 ;  49 471 ;  89 408 ;  68 525 ;  39 275 ;  31 643 ;35047;;;;;;;
Limeira;  578 595 ;  36 813 ;  38 867 ;  45 976 ;  28 242 ;  19 166 ;  52 777 ;Limeira;  53 457 ;  48 457 ;  43 778 ;  81 308 ;  63 212 ;  36 902 ;  29 640 ;35027;;;;;;;
Lins;  160 220 ;  9 879 ;  10 601 ;  12 588 ;  7 917 ;  5 191 ;  13 532 ;Lins;  13 776 ;  12 863 ;  11 729 ;  22 065 ;  17 843 ;  11 697 ;  10 539 ;35019;;;;;;;
Marília;  330 285 ;  19 458 ;  20 982 ;  25 660 ;  15 921 ;  10 284 ;  28 008 ;Marília;  28 082 ;  27 114 ;  24 689 ;  46 100 ;  37 731 ;  24 468 ;  21 788 ;35038;;;;;;;
Mogi das Cruzes; 1 316 402 ;  98 082 ;  108 090 ;  127 199 ;  73 137 ;  45 312 ;  118 794 ;Mogi das Cruzes;  117 645 ;  110 826 ;  101 282 ;  177 479 ;  126 829 ;  67 552 ;  44 175 ;35062;;;;;;;
Moji Mirim;  382 879 ;  23 398 ;  25 350 ;  30 239 ;  18 945 ;  12 698 ;  33 901 ;Moji Mirim;  34 719 ;  31 566 ;  28 817 ;  54 574 ;  42 596 ;  25 837 ;  20 239 ;35031;;;;;;;
Nhandeara;  65 337 ;  3 695 ;  3 613 ;  4 144 ;  2 771 ;  1 930 ;  5 525 ;Nhandeara;  5 535 ;  5 050 ;  4 737 ;  9 534 ;  7 922 ;  5 678 ;  5 203 ;35007;;;;;;;
Novo Horizonte;  79 222 ;  4 584 ;  5 027 ;  5 645 ;  3 549 ;  2 485 ;  6 742 ;Novo Horizonte;  6 584 ;  6 093 ;  5 726 ;  11 179 ;  9 489 ;  6 427 ;  5 692 ;35008;;;;;;;
Osasco; 1 774 846 ;  129 826 ;  137 657 ;  158 926 ;  92 891 ;  59 162 ;  165 797 ;Osasco;  171 381 ;  159 379 ;  141 415 ;  241 450 ;  171 244 ;  89 407 ;  56 311 ;35057;;;;;;;
Ourinhos;  289 917 ;  19 223 ;  20 503 ;  23 895 ;  14 716 ;  9 437 ;  23 779 ;Ourinhos;  23 429 ;  21 932 ;  20 755 ;  39 917 ;  32 401 ;  21 898 ;  18 032 ;35040;;;;;;;
