Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Guariroba;  2 090 ;   118 ;   128 ;   162 ;   90 ;   62 ;   176 ;Guariroba;   159 ;   167 ;   150 ;   280 ;   275 ;   162 ;   161 ;355370810;;;;;;;
Jurupema;  2 062 ;   101 ;   113 ;   145 ;   81 ;   48 ;   168 ;Jurupema;   150 ;   115 ;   124 ;   306 ;   268 ;   213 ;   230 ;355370815;;;;;;;
Taquaritinga;  49 836 ;  3 169 ;  3 454 ;  3 922 ;  2 477 ;  1 587 ;  4 257 ;Taquaritinga;  4 263 ;  4 008 ;  3 682 ;  6 990 ;  5 312 ;  3 549 ;  3 166 ;355370805;;;;;;;
Taquarituba;  22 291 ;  1 505 ;  1 596 ;  1 966 ;  1 224 ;   753 ;  1 871 ;Taquarituba;  1 810 ;  1 716 ;  1 556 ;  3 107 ;  2 499 ;  1 452 ;  1 236 ;3553807;;;;;;;
Taquarituba;  22 291 ;  1 505 ;  1 596 ;  1 966 ;  1 224 ;   753 ;  1 871 ;Taquarituba;  1 810 ;  1 716 ;  1 556 ;  3 107 ;  2 499 ;  1 452 ;  1 236 ;355380705;;;;;;;
Taquarivaí;  5 151 ;   414 ;   505 ;   558 ;   333 ;   184 ;   496 ;Taquarivaí;   453 ;   396 ;   331 ;   625 ;   451 ;   225 ;   180 ;3553856;;;;;;;
Taquarivaí;  5 151 ;   414 ;   505 ;   558 ;   333 ;   184 ;   496 ;Taquarivaí;   453 ;   396 ;   331 ;   625 ;   451 ;   225 ;   180 ;355385605;;;;;;;
Tarabai;  6 607 ;   462 ;   543 ;   576 ;   374 ;   240 ;   565 ;Tarabai;   569 ;   540 ;   492 ;   879 ;   599 ;   395 ;   373 ;3553906;;;;;;;
Tarabai;  6 607 ;   462 ;   543 ;   576 ;   374 ;   240 ;   565 ;Tarabai;   569 ;   540 ;   492 ;   879 ;   599 ;   395 ;   373 ;355390605;;;;;;;
Tarumã;  12 885 ;   972 ;   986 ;  1 067 ;   700 ;   426 ;  1 214 ;Tarumã;  1 139 ;  1 051 ;  1 056 ;  1 854 ;  1 213 ;   711 ;   496 ;3553955;;;;;;;
Tarumã;  12 885 ;   972 ;   986 ;  1 067 ;   700 ;   426 ;  1 214 ;Tarumã;  1 139 ;  1 051 ;  1 056 ;  1 854 ;  1 213 ;   711 ;   496 ;355395505;;;;;;;
Tatuí;  107 326 ;  7 274 ;  7 924 ;  9 401 ;  5 551 ;  3 612 ;  9 395 ;Tatuí;  9 548 ;  9 024 ;  7 927 ;  14 071 ;  10 902 ;  7 112 ;  5 585 ;3554003;;;;;;;
Tatuí;  107 326 ;  7 274 ;  7 924 ;  9 401 ;  5 551 ;  3 612 ;  9 395 ;Tatuí;  9 548 ;  9 024 ;  7 927 ;  14 071 ;  10 902 ;  7 112 ;  5 585 ;355400305;;;;;;;
Taubaté;  278 686 ;  17 976 ;  18 936 ;  22 347 ;  13 500 ;  9 126 ;  24 451 ;Taubaté;  25 484 ;  24 102 ;  21 288 ;  39 470 ;  30 276 ;  17 933 ;  13 797 ;3554102;;;;;;;
Quiririm;  42 802 ;  3 468 ;  3 519 ;  4 021 ;  2 293 ;  1 439 ;  3 666 ;Quiririm;  4 032 ;  4 070 ;  3 490 ;  5 658 ;  4 032 ;  2 031 ;  1 083 ;355410210;;;;;;;
Taubaté;  235 884 ;  14 508 ;  15 417 ;  18 326 ;  11 207 ;  7 687 ;  20 785 ;Taubaté;  21 452 ;  20 032 ;  17 798 ;  33 812 ;  26 244 ;  15 902 ;  12 714 ;355410205;;;;;;;
Tejupá;  4 809 ;   361 ;   445 ;   507 ;   256 ;   155 ;   403 ;Tejupá;   364 ;   363 ;   331 ;   571 ;   500 ;   361 ;   192 ;3554201;;;;;;;
Águas Virtuosas;  1 081 ;   91 ;   124 ;   115 ;   60 ;   36 ;   95 ;Águas Virtuosas;   82 ;   84 ;   75 ;   104 ;   105 ;   75 ;   35 ;355420110;;;;;;;
Ribeirão Bonito;  1 508 ;   113 ;   140 ;   150 ;   97 ;   45 ;   136 ;Ribeirão Bonito;   131 ;   120 ;   100 ;   178 ;   140 ;   98 ;   60 ;355420120;;;;;;;
Tejupá;  2 220 ;   157 ;   181 ;   242 ;   99 ;   74 ;   172 ;Tejupá;   151 ;   159 ;   156 ;   289 ;   255 ;   188 ;   97 ;355420105;;;;;;;
Teodoro Sampaio;  21 386 ;  1 551 ;  1 725 ;  2 000 ;  1 133 ;   726 ;  1 873 ;Teodoro Sampaio;  1 802 ;  1 846 ;  1 597 ;  2 911 ;  1 975 ;  1 288 ;   959 ;3554300;;;;;;;
Planalto do Sul;  1 989 ;   134 ;   179 ;   203 ;   104 ;   64 ;   140 ;Planalto do Sul;   145 ;   176 ;   138 ;   227 ;   170 ;   177 ;   132 ;355430025;;;;;;;
Teodoro Sampaio;  19 397 ;  1 417 ;  1 546 ;  1 797 ;  1 029 ;   662 ;  1 733 ;Teodoro Sampaio;  1 657 ;  1 670 ;  1 459 ;  2 684 ;  1 805 ;  1 111 ;   827 ;355430005;;;;;;;
Terra Roxa;  8 505 ;   587 ;   601 ;   678 ;   422 ;   303 ;   755 ;Terra Roxa;   759 ;   634 ;   581 ;  1 150 ;   947 ;   554 ;   534 ;3554409;;;;;;;
Terra Roxa;  8 505 ;   587 ;   601 ;   678 ;   422 ;   303 ;   755 ;Terra Roxa;   759 ;   634 ;   581 ;  1 150 ;   947 ;   554 ;   534 ;355440905;;;;;;;
Tietê;  36 835 ;  2 367 ;  2 420 ;  2 855 ;  1 700 ;  1 256 ;  3 336 ;Tietê;  3 359 ;  3 007 ;  2 687 ;  5 121 ;  3 871 ;  2 536 ;  2 320 ;3554508;;;;;;;
Tietê;  36 835 ;  2 367 ;  2 420 ;  2 855 ;  1 700 ;  1 256 ;  3 336 ;Tietê;  3 359 ;  3 007 ;  2 687 ;  5 121 ;  3 871 ;  2 536 ;  2 320 ;355450805;;;;;;;
Timburi;  2 646 ;   164 ;   175 ;   225 ;   136 ;   75 ;   184 ;Timburi;   168 ;   182 ;   159 ;   394 ;   338 ;   231 ;   215 ;3554607;;;;;;;
Timburi;  2 646 ;   164 ;   175 ;   225 ;   136 ;   75 ;   184 ;Timburi;   168 ;   182 ;   159 ;   394 ;   338 ;   231 ;   215 ;355460705;;;;;;;
Torre de Pedra;  2 254 ;   134 ;   156 ;   198 ;   130 ;   53 ;   147 ;Torre de Pedra;   138 ;   167 ;   178 ;   309 ;   252 ;   221 ;   171 ;3554656;;;;;;;
Torre de Pedra;  2 254 ;   134 ;   156 ;   198 ;   130 ;   53 ;   147 ;Torre de Pedra;   138 ;   167 ;   178 ;   309 ;   252 ;   221 ;   171 ;355465605;;;;;;;
Torrinha;  9 330 ;   538 ;   539 ;   683 ;   449 ;   327 ;   839 ;Torrinha;   747 ;   709 ;   655 ;  1 261 ;  1 073 ;   751 ;   759 ;3554706;;;;;;;
Torrinha;  9 330 ;   538 ;   539 ;   683 ;   449 ;   327 ;   839 ;Torrinha;   747 ;   709 ;   655 ;  1 261 ;  1 073 ;   751 ;   759 ;355470605;;;;;;;
Trabiju;  1 544 ;   104 ;   119 ;   151 ;   90 ;   55 ;   128 ;Trabiju;   121 ;   121 ;   110 ;   184 ;   160 ;   107 ;   94 ;3554755;;;;;;;
Trabiju;  1 544 ;   104 ;   119 ;   151 ;   90 ;   55 ;   128 ;Trabiju;   121 ;   121 ;   110 ;   184 ;   160 ;   107 ;   94 ;355475505;;;;;;;
Tremembé;  40 984 ;  2 527 ;  2 807 ;  3 306 ;  1 903 ;  1 277 ;  3 961 ;Tremembé;  4 193 ;  3 905 ;  3 183 ;  5 756 ;  4 149 ;  2 342 ;  1 675 ;3554805;;;;;;;
Tremembé;  40 984 ;  2 527 ;  2 807 ;  3 306 ;  1 903 ;  1 277 ;  3 961 ;Tremembé;  4 193 ;  3 905 ;  3 183 ;  5 756 ;  4 149 ;  2 342 ;  1 675 ;355480505;;;;;;;
Três Fronteiras;  5 427 ;   287 ;   303 ;   425 ;   251 ;   165 ;   383 ;Três Fronteiras;   402 ;   409 ;   376 ;   735 ;   669 ;   541 ;   481 ;3554904;;;;;;;
Três Fronteiras;  5 427 ;   287 ;   303 ;   425 ;   251 ;   165 ;   383 ;Três Fronteiras;   402 ;   409 ;   376 ;   735 ;   669 ;   541 ;   481 ;355490405;;;;;;;
Tuiuti;  5 930 ;   319 ;   367 ;   430 ;   277 ;   152 ;   482 ;Tuiuti;   450 ;   510 ;   426 ;   776 ;   724 ;   594 ;   423 ;3554953;;;;;;;
Tuiuti;  5 930 ;   319 ;   367 ;   430 ;   277 ;   152 ;   482 ;Tuiuti;   450 ;   510 ;   426 ;   776 ;   724 ;   594 ;   423 ;355495305;;;;;;;
Tupã;  63 476 ;  3 533 ;  3 701 ;  4 349 ;  2 787 ;  1 806 ;  5 002 ;Tupã;  5 096 ;  4 856 ;  4 580 ;  9 111 ;  7 679 ;  5 497 ;  5 479 ;3555000;;;;;;;
Parnaso;   661 ;   26 ;   36 ;   54 ;   33 ;   21 ;   53 ;Parnaso;   37 ;   52 ;   45 ;   88 ;   82 ;   72 ;   62 ;355500015;;;;;;;
Tupã;  61 194 ;  3 412 ;  3 568 ;  4 179 ;  2 675 ;  1 746 ;  4 818 ;Tupã;  4 961 ;  4 704 ;  4 420 ;  8 785 ;  7 409 ;  5 263 ;  5 254 ;355500005;;;;;;;
Universo;   990 ;   67 ;   67 ;   76 ;   49 ;   26 ;   86 ;Universo;   57 ;   63 ;   80 ;   149 ;   105 ;   89 ;   76 ;355500020;;;;;;;
Varpa;   631 ;   28 ;   30 ;   40 ;   30 ;   13 ;   45 ;Varpa;   41 ;   37 ;   35 ;   89 ;   83 ;   73 ;   87 ;355500025;;;;;;;
Tupi Paulista;  14 269 ;   577 ;   637 ;   856 ;   604 ;   359 ;  1 112 ;Tupi Paulista;  1 240 ;  1 212 ;  1 073 ;  2 093 ;  1 867 ;  1 330 ;  1 309 ;3555109;;;;;;;
Oásis;   448 ;   17 ;   15 ;   26 ;   16 ;   15 ;   39 ;Oásis;   34 ;   16 ;   22 ;   65 ;   83 ;   59 ;   41 ;355510915;;;;;;;
Tupi Paulista;  13 821 ;   560 ;   622 ;   830 ;   588 ;   344 ;  1 073 ;Tupi Paulista;  1 206 ;  1 196 ;  1 051 ;  2 028 ;  1 784 ;  1 271 ;  1 268 ;355510905;;;;;;;
Turiúba;  1 930 ;   112 ;   94 ;   120 ;   101 ;   42 ;   143 ;Turiúba;   122 ;   129 ;   139 ;   288 ;   251 ;   215 ;   174 ;3555208;;;;;;;
Turiúba;  1 930 ;   112 ;   94 ;   120 ;   101 ;   42 ;   143 ;Turiúba;   122 ;   129 ;   139 ;   288 ;   251 ;   215 ;   174 ;355520805;;;;;;;
Turmalina;  1 978 ;   74 ;   92 ;   136 ;   94 ;   66 ;   147 ;Turmalina;   91 ;   98 ;   130 ;   346 ;   280 ;   244 ;   180 ;3555307;;;;;;;
Fátima Paulista;   638 ;   16 ;   27 ;   52 ;   30 ;   22 ;   33 ;Fátima Paulista;   25 ;   33 ;   42 ;   122 ;   98 ;   80 ;   58 ;355530710;;;;;;;
Turmalina;  1 340 ;   58 ;   65 ;   84 ;   64 ;   44 ;   114 ;Turmalina;   66 ;   65 ;   88 ;   224 ;   182 ;   164 ;   122 ;355530705;;;;;;;
Ubarana;  5 289 ;   410 ;   457 ;   491 ;   263 ;   182 ;   462 ;Ubarana;   473 ;   462 ;   407 ;   653 ;   514 ;   306 ;   209 ;3555356;;;;;;;
Ubarana;  5 289 ;   410 ;   457 ;   491 ;   263 ;   182 ;   462 ;Ubarana;   473 ;   462 ;   407 ;   653 ;   514 ;   306 ;   209 ;355535605;;;;;;;
Ubatuba;  78 801 ;  5 454 ;  6 152 ;  7 602 ;  4 426 ;  2 577 ;  6 546 ;Ubatuba;  6 701 ;  6 809 ;  6 382 ;  10 765 ;  7 747 ;  4 557 ;  3 083 ;3555406;;;;;;;
Picinguaba;  1 961 ;   143 ;   155 ;   222 ;   126 ;   60 ;   146 ;Picinguaba;   169 ;   158 ;   117 ;   272 ;   192 ;   113 ;   88 ;355540610;;;;;;;
Ubatuba;  76 840 ;  5 311 ;  5 997 ;  7 380 ;  4 300 ;  2 517 ;  6 400 ;Ubatuba;  6 532 ;  6 651 ;  6 265 ;  10 493 ;  7 555 ;  4 444 ;  2 995 ;355540605;;;;;;;
Ubirajara;  4 427 ;   318 ;   322 ;   382 ;   218 ;   136 ;   381 ;Ubirajara;   378 ;   321 ;   265 ;   552 ;   525 ;   313 ;   316 ;3555505;;;;;;;
Ubirajara;  4 427 ;   318 ;   322 ;   382 ;   218 ;   136 ;   381 ;Ubirajara;   378 ;   321 ;   265 ;   552 ;   525 ;   313 ;   316 ;355550505;;;;;;;
Uchoa;  9 471 ;   530 ;   568 ;   650 ;   449 ;   281 ;   835 ;Uchoa;   733 ;   708 ;   675 ;  1 337 ;  1 136 ;   781 ;   788 ;3555604;;;;;;;
Uchoa;  9 471 ;   530 ;   568 ;   650 ;   449 ;   281 ;   835 ;Uchoa;   733 ;   708 ;   675 ;  1 337 ;  1 136 ;   781 ;   788 ;355560405;;;;;;;
União Paulista;  1 599 ;   117 ;   109 ;   134 ;   71 ;   49 ;   124 ;União Paulista;   151 ;   136 ;   110 ;   202 ;   166 ;   117 ;   113 ;3555703;;;;;;;
União Paulista;  1 599 ;   117 ;   109 ;   134 ;   71 ;   49 ;   124 ;União Paulista;   151 ;   136 ;   110 ;   202 ;   166 ;   117 ;   113 ;355570305;;;;;;;
Urânia;  8 836 ;   468 ;   545 ;   596 ;   374 ;   277 ;   669 ;Urânia;   712 ;   668 ;   633 ;  1 213 ;  1 149 ;   809 ;   723 ;3555802;;;;;;;
Urânia;  8 836 ;   468 ;   545 ;   596 ;   374 ;   277 ;   669 ;Urânia;   712 ;   668 ;   633 ;  1 213 ;  1 149 ;   809 ;   723 ;355580205;;;;;;;
Uru;  1 251 ;   64 ;   77 ;   89 ;   48 ;   35 ;   117 ;Uru;   95 ;   91 ;   81 ;   190 ;   162 ;   105 ;   97 ;3555901;;;;;;;
Uru;  1 251 ;   64 ;   77 ;   89 ;   48 ;   35 ;   117 ;Uru;   95 ;   91 ;   81 ;   190 ;   162 ;   105 ;   97 ;355590105;;;;;;;
Urupês;  12 714 ;   634 ;   735 ;   859 ;   554 ;   398 ;  1 027 ;Urupês;  1 056 ;   934 ;   891 ;  1 872 ;  1 567 ;  1 102 ;  1 085 ;3556008;;;;;;;
São João de Itaguaçu;   721 ;   24 ;   38 ;   44 ;   31 ;   19 ;   42 ;São João de Itaguaçu;   38 ;   41 ;   60 ;   122 ;   98 ;   80 ;   84 ;355600810;;;;;;;
Urupês;  11 993 ;   610 ;   697 ;   815 ;   523 ;   379 ;   985 ;Urupês;  1 018 ;   893 ;   831 ;  1 750 ;  1 469 ;  1 022 ;  1 001 ;355600805;;;;;;;
Valentim Gentil;  11 036 ;   664 ;   711 ;   828 ;   509 ;   392 ;  1 030 ;Valentim Gentil;  1 000 ;   949 ;   812 ;  1 533 ;  1 218 ;   787 ;   603 ;3556107;;;;;;;
Valentim Gentil;  11 036 ;   664 ;   711 ;   828 ;   509 ;   392 ;  1 030 ;Valentim Gentil;  1 000 ;   949 ;   812 ;  1 533 ;  1 218 ;   787 ;   603 ;355610705;;;;;;;
Valinhos;  106 793 ;  6 160 ;  6 406 ;  7 577 ;  4 670 ;  3 216 ;  9 048 ;Valinhos;  9 396 ;  9 200 ;  8 717 ;  17 261 ;  12 289 ;  7 119 ;  5 734 ;3556206;;;;;;;
Valinhos;  106 793 ;  6 160 ;  6 406 ;  7 577 ;  4 670 ;  3 216 ;  9 048 ;Valinhos;  9 396 ;  9 200 ;  8 717 ;  17 261 ;  12 289 ;  7 119 ;  5 734 ;355620605;;;;;;;
Valparaíso;  22 576 ;  1 510 ;  1 415 ;  1 659 ;  1 099 ;   672 ;  2 154 ;Valparaíso;  2 514 ;  2 241 ;  1 802 ;  3 110 ;  1 989 ;  1 300 ;  1 111 ;3556305;;;;;;;
Valparaíso;  22 576 ;  1 510 ;  1 415 ;  1 659 ;  1 099 ;   672 ;  2 154 ;Valparaíso;  2 514 ;  2 241 ;  1 802 ;  3 110 ;  1 989 ;  1 300 ;  1 111 ;355630505;;;;;;;
Vargem;  8 801 ;   548 ;   604 ;   745 ;   444 ;   253 ;   753 ;Vargem;   722 ;   680 ;   660 ;  1 143 ;   941 ;   731 ;   577 ;3556354;;;;;;;
Vargem;  8 801 ;   548 ;   604 ;   745 ;   444 ;   253 ;   753 ;Vargem;   722 ;   680 ;   660 ;  1 143 ;   941 ;   731 ;   577 ;355635405;;;;;;;
Vargem Grande do Sul;  39 266 ;  2 655 ;  2 753 ;  3 182 ;  1 884 ;  1 290 ;  3 317 ;Vargem Grande do Sul;  3 329 ;  3 090 ;  2 833 ;  5 553 ;  4 349 ;  2 721 ;  2 310 ;3556404;;;;;;;
Vargem Grande do Sul;  39 266 ;  2 655 ;  2 753 ;  3 182 ;  1 884 ;  1 290 ;  3 317 ;Vargem Grande do Sul;  3 329 ;  3 090 ;  2 833 ;  5 553 ;  4 349 ;  2 721 ;  2 310 ;355640405;;;;;;;
Vargem Grande Paulista;  42 997 ;  3 214 ;  3 394 ;  3 920 ;  2 184 ;  1 393 ;  3 792 ;Vargem Grande Paulista;  3 982 ;  3 806 ;  3 397 ;  5 973 ;  4 171 ;  2 254 ;  1 517 ;3556453;;;;;;;
Vargem Grande Paulista;  42 997 ;  3 214 ;  3 394 ;  3 920 ;  2 184 ;  1 393 ;  3 792 ;Vargem Grande Paulista;  3 982 ;  3 806 ;  3 397 ;  5 973 ;  4 171 ;  2 254 ;  1 517 ;355645305;;;;;;;
Várzea Paulista;  107 089 ;  7 788 ;  8 044 ;  9 207 ;  5 659 ;  3 776 ;  10 520 ;Várzea Paulista;  10 558 ;  9 339 ;  8 365 ;  14 715 ;  10 805 ;  5 129 ;  3 184 ;3556503;;;;;;;
Várzea Paulista;  107 089 ;  7 788 ;  8 044 ;  9 207 ;  5 659 ;  3 776 ;  10 520 ;Várzea Paulista;  10 558 ;  9 339 ;  8 365 ;  14 715 ;  10 805 ;  5 129 ;  3 184 ;355650305;;;;;;;
Vera Cruz;  10 769 ;   644 ;   725 ;   860 ;   567 ;   344 ;   854 ;Vera Cruz;   785 ;   818 ;   740 ;  1 466 ;  1 197 ;   902 ;   867 ;3556602;;;;;;;
Vera Cruz;  10 769 ;   644 ;   725 ;   860 ;   567 ;   344 ;   854 ;Vera Cruz;   785 ;   818 ;   740 ;  1 466 ;  1 197 ;   902 ;   867 ;355660205;;;;;;;
Vinhedo;  63 611 ;  3 874 ;  4 093 ;  4 674 ;  2 784 ;  1 902 ;  5 697 ;Vinhedo;  6 121 ;  5 558 ;  5 174 ;  9 418 ;  7 045 ;  4 065 ;  3 206 ;3556701;;;;;;;
Vinhedo;  63 611 ;  3 874 ;  4 093 ;  4 674 ;  2 784 ;  1 902 ;  5 697 ;Vinhedo;  6 121 ;  5 558 ;  5 174 ;  9 418 ;  7 045 ;  4 065 ;  3 206 ;355670105;;;;;;;
Viradouro;  17 297 ;  1 135 ;  1 167 ;  1 424 ;   951 ;   593 ;  1 593 ;Viradouro;  1 600 ;  1 330 ;  1 195 ;  2 288 ;  1 781 ;  1 176 ;  1 064 ;3556800;;;;;;;
Viradouro;  17 297 ;  1 135 ;  1 167 ;  1 424 ;   951 ;   593 ;  1 593 ;Viradouro;  1 600 ;  1 330 ;  1 195 ;  2 288 ;  1 781 ;  1 176 ;  1 064 ;355680005;;;;;;;
Vista Alegre do Alto;  6 886 ;   443 ;   451 ;   531 ;   328 ;   258 ;   754 ;Vista Alegre do Alto;   717 ;   580 ;   511 ;   897 ;   661 ;   393 ;   362 ;3556909;;;;;;;
Vista Alegre do Alto;  6 886 ;   443 ;   451 ;   531 ;   328 ;   258 ;   754 ;Vista Alegre do Alto;   717 ;   580 ;   511 ;   897 ;   661 ;   393 ;   362 ;355690905;;;;;;;
Vitória Brasil;  1 737 ;   103 ;   103 ;   118 ;   94 ;   51 ;   149 ;Vitória Brasil;   145 ;   136 ;   121 ;   237 ;   212 ;   146 ;   122 ;3556958;;;;;;;
Vitória Brasil;  1 737 ;   103 ;   103 ;   118 ;   94 ;   51 ;   149 ;Vitória Brasil;   145 ;   136 ;   121 ;   237 ;   212 ;   146 ;   122 ;355695805;;;;;;;
Votorantim;  108 809 ;  7 444 ;  8 239 ;  9 634 ;  5 675 ;  3 767 ;  10 011 ;Votorantim;  10 238 ;  9 394 ;  8 225 ;  14 596 ;  11 121 ;  6 300 ;  4 165 ;3557006;;;;;;;
Votorantim;  108 809 ;  7 444 ;  8 239 ;  9 634 ;  5 675 ;  3 767 ;  10 011 ;Votorantim;  10 238 ;  9 394 ;  8 225 ;  14 596 ;  11 121 ;  6 300 ;  4 165 ;355700605;;;;;;;
Votuporanga;  84 692 ;  4 456 ;  4 753 ;  5 793 ;  3 713 ;  2 624 ;  7 353 ;Votuporanga;  7 294 ;  6 825 ;  6 449 ;  12 634 ;  10 329 ;  6 842 ;  5 627 ;3557105;;;;;;;
Simonsen;  1 156 ;   57 ;   71 ;   88 ;   61 ;   34 ;   95 ;Simonsen;   76 ;   76 ;   84 ;   175 ;   132 ;   121 ;   86 ;355710515;;;;;;;
Votuporanga;  83 536 ;  4 399 ;  4 682 ;  5 705 ;  3 652 ;  2 590 ;  7 258 ;Votuporanga;  7 218 ;  6 749 ;  6 365 ;  12 459 ;  10 197 ;  6 721 ;  5 541 ;355710505;;;;;;;
Zacarias;  2 335 ;   150 ;   145 ;   172 ;   93 ;   70 ;   181 ;Zacarias;   212 ;   166 ;   178 ;   337 ;   271 ;   186 ;   174 ;3557154;;;;;;;
Zacarias;  2 335 ;   150 ;   145 ;   172 ;   93 ;   70 ;   181 ;Zacarias;   212 ;   166 ;   178 ;   337 ;   271 ;   186 ;   174 ;355715405;;;;;;;
Municípios e Bairros;;;;;;;;Municípios e Bairros;;;;;;;;;;;;;;;
Anhembi;  5 653 ;   444 ;   470 ;   534 ;   308 ;   181 ;   416 ;Anhembi;   433 ;   457 ;   416 ;   740 ;   579 ;   373 ;   302 ;3502309;;;;;;;
Altos de Anhembi;   37 ;   1 ;   1 ;   3 ;   2 ;   2 ;   3 ;Altos de Anhembi;- ;   1 ;   1 ;   4 ;   10 ;   6 ;   3 ;3502309009;;;;;;;
Centro;   729 ;   44 ;   49 ;   61 ;   33 ;   26 ;   32 ;Centro;   47 ;   47 ;   47 ;   106 ;   92 ;   69 ;   76 ;3502309001;;;;;;;
Centro (Pirambóia);   192 ;   13 ;   16 ;   13 ;   11 ;   5 ;   17 ;Centro (Pirambóia);   16 ;   4 ;   13 ;   33 ;   12 ;   20 ;   19 ;3502309011;;;;;;;
Jardim Bandeirantes;   155 ;   8 ;   5 ;   6 ;   10 ;   1 ;   11 ;Jardim Bandeirantes;   10 ;   16 ;   16 ;   22 ;   19 ;   19 ;   12 ;3502309005;;;;;;;
Jardim Cruzeiro;   181 ;   14 ;   10 ;   14 ;   10 ;   9 ;   8 ;Jardim Cruzeiro;   18 ;   13 ;   9 ;   26 ;   29 ;   10 ;   11 ;3502309006;;;;;;;
Jardim Nova Anhembi;   313 ;   16 ;   27 ;   32 ;   18 ;   10 ;   24 ;Jardim Nova Anhembi;   27 ;   21 ;   17 ;   42 ;   32 ;   26 ;   21 ;3502309003;;;;;;;
Jardim Nova Pirambóia;   236 ;   16 ;   15 ;   16 ;   16 ;   11 ;   24 ;Jardim Nova Pirambóia;   9 ;   18 ;   23 ;   40 ;   23 ;   10 ;   15 ;3502309012;;;;;;;
Morada do Sol;   860 ;   70 ;   71 ;   96 ;   53 ;   34 ;   66 ;Morada do Sol;   60 ;   95 ;   71 ;   113 ;   69 ;   33 ;   29 ;3502309007;;;;;;;
Nossa Senhora das Graças;   241 ;   28 ;   29 ;   27 ;   19 ;   10 ;   18 ;Nossa Senhora das Graças;   20 ;   18 ;   27 ;   27 ;   12 ;   5 ;   1 ;3502309013;;;;;;;
Nossa Senhora dos Navegantes;   620 ;   55 ;   49 ;   58 ;   34 ;   26 ;   61 ;Nossa Senhora dos Navegantes;   60 ;   41 ;   40 ;   83 ;   68 ;   31 ;   14 ;3502309008;;;;;;;
Recanto da Figueira;   532 ;   67 ;   84 ;   51 ;   27 ;   11 ;   40 ;Recanto da Figueira;   74 ;   56 ;   31 ;   46 ;   26 ;   11 ;   8 ;3502309004;;;;;;;
Vila São José;   175 ;   13 ;   10 ;   16 ;   10 ;   2 ;   15 ;Vila São José;   15 ;   13 ;   8 ;   14 ;   20 ;   19 ;   20 ;3502309002;;;;;;;
Artur Nogueira;  44 177 ;  3 065 ;  3 304 ;  3 776 ;  2 200 ;  1 503 ;  4 149 ;Artur Nogueira;  4 311 ;  3 785 ;  3 492 ;  6 017 ;  4 187 ;  2 519 ;  1 869 ;3503802;;;;;;;
Cinco;   583 ;   55 ;   68 ;   59 ;   30 ;   18 ;   47 ;Cinco;   53 ;   51 ;   49 ;   62 ;   45 ;   30 ;   16 ;3503802005;;;;;;;
Dez;   868 ;   55 ;   49 ;   59 ;   38 ;   26 ;   54 ;Dez;   68 ;   73 ;   87 ;   143 ;   106 ;   65 ;   45 ;3503802010;;;;;;;
Dois;  6 287 ;   403 ;   445 ;   518 ;   330 ;   220 ;   657 ;Dois;   657 ;   507 ;   450 ;   851 ;   677 ;   342 ;   230 ;3503802002;;;;;;;
Doze;  1 148 ;   81 ;   90 ;   90 ;   59 ;   37 ;   113 ;Doze;   118 ;   82 ;   83 ;   170 ;   111 ;   68 ;   46 ;3503802012;;;;;;;
Nove;  4 357 ;   356 ;   318 ;   436 ;   212 ;   144 ;   357 ;Nove;   452 ;   396 ;   350 ;   589 ;   378 ;   218 ;   151 ;3503802009;;;;;;;
Oito;  1 800 ;   120 ;   121 ;   134 ;   67 ;   49 ;   173 ;Oito;   172 ;   177 ;   163 ;   278 ;   181 ;   94 ;   71 ;3503802008;;;;;;;
Onze;  2 335 ;   121 ;   114 ;   158 ;   103 ;   77 ;   240 ;Onze;   175 ;   153 ;   170 ;   393 ;   334 ;   160 ;   137 ;3503802011;;;;;;;
Quatro;  5 249 ;   386 ;   449 ;   515 ;   295 ;   214 ;   590 ;Quatro;   501 ;   422 ;   398 ;   674 ;   444 ;   212 ;   149 ;3503802004;;;;;;;
