Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Álvares Florence;  3 375 ;  1 733 ;  1 642 ;  2 352 ;  1 199 ;  1 153 ;  1 023 ;   534 ;   489 ;350120205;;;;;;;;
Boa Vista dos Andradas;   522 ;   266 ;   256 ;   296 ;   144 ;   152 ;   226 ;   122 ;   104 ;350120210;;;;;;;;
Álvares Machado;  23 513 ;  11 640 ;  11 873 ;  21 183 ;  10 422 ;  10 761 ;  2 330 ;  1 218 ;  1 112 ;3501301;;;;;;;;
Álvares Machado;  22 490 ;  11 098 ;  11 392 ;  20 675 ;  10 160 ;  10 515 ;  1 815 ;   938 ;   877 ;350130105;;;;;;;;
Coronel Goulart;  1 023 ;   542 ;   481 ;   508 ;   262 ;   246 ;   515 ;   280 ;   235 ;350130110;;;;;;;;
Álvaro de Carvalho;  4 650 ;  2 959 ;  1 691 ;  2 952 ;  1 419 ;  1 533 ;  1 698 ;  1 540 ;   158 ;3501400;;;;;;;;
Álvaro de Carvalho;  4 650 ;  2 959 ;  1 691 ;  2 952 ;  1 419 ;  1 533 ;  1 698 ;  1 540 ;   158 ;350140005;;;;;;;;
Alvinlândia;  3 000 ;  1 482 ;  1 518 ;  2 693 ;  1 323 ;  1 370 ;   307 ;   159 ;   148 ;3501509;;;;;;;;
Alvinlândia;  3 000 ;  1 482 ;  1 518 ;  2 693 ;  1 323 ;  1 370 ;   307 ;   159 ;   148 ;350150905;;;;;;;;
Americana;  210 638 ;  103 174 ;  107 464 ;  209 654 ;  102 644 ;  107 010 ;   984 ;   530 ;   454 ;3501608;;;;;;;;
Americana;  210 638 ;  103 174 ;  107 464 ;  209 654 ;  102 644 ;  107 010 ;   984 ;   530 ;   454 ;350160805;;;;;;;;
Américo Brasiliense;  34 478 ;  17 333 ;  17 145 ;  34 217 ;  17 201 ;  17 016 ;   261 ;   132 ;   129 ;3501707;;;;;;;;
Américo Brasiliense;  34 478 ;  17 333 ;  17 145 ;  34 217 ;  17 201 ;  17 016 ;   261 ;   132 ;   129 ;350170705;;;;;;;;
Américo de Campos;  5 706 ;  2 862 ;  2 844 ;  4 788 ;  2 382 ;  2 406 ;   918 ;   480 ;   438 ;3501806;;;;;;;;
Américo de Campos;  5 706 ;  2 862 ;  2 844 ;  4 788 ;  2 382 ;  2 406 ;   918 ;   480 ;   438 ;350180605;;;;;;;;
Amparo;  65 829 ;  32 442 ;  33 387 ;  51 811 ;  25 126 ;  26 685 ;  14 018 ;  7 316 ;  6 702 ;3501905;;;;;;;;
Amparo;  52 507 ;  25 616 ;  26 891 ;  47 770 ;  23 110 ;  24 660 ;  4 737 ;  2 506 ;  2 231 ;350190505;;;;;;;;
Arcadas;  11 614 ;  5 943 ;  5 671 ;  2 785 ;  1 359 ;  1 426 ;  8 829 ;  4 584 ;  4 245 ;350190510;;;;;;;;
Três Pontes;  1 708 ;   883 ;   825 ;  1 256 ;   657 ;   599 ;   452 ;   226 ;   226 ;350190515;;;;;;;;
Analândia;  4 293 ;  2 203 ;  2 090 ;  3 408 ;  1 734 ;  1 674 ;   885 ;   469 ;   416 ;3502002;;;;;;;;
Analândia;  4 293 ;  2 203 ;  2 090 ;  3 408 ;  1 734 ;  1 674 ;   885 ;   469 ;   416 ;350200205;;;;;;;;
Andradina;  55 334 ;  27 190 ;  28 144 ;  51 649 ;  25 280 ;  26 369 ;  3 685 ;  1 910 ;  1 775 ;3502101;;;;;;;;
Andradina;  55 334 ;  27 190 ;  28 144 ;  51 649 ;  25 280 ;  26 369 ;  3 685 ;  1 910 ;  1 775 ;350210105;;;;;;;;
Angatuba;  22 210 ;  11 245 ;  10 965 ;  15 953 ;  7 958 ;  7 995 ;  6 257 ;  3 287 ;  2 970 ;3502200;;;;;;;;
Angatuba;  18 650 ;  9 414 ;  9 236 ;  14 160 ;  7 047 ;  7 113 ;  4 490 ;  2 367 ;  2 123 ;350220005;;;;;;;;
Bom Retiro da Esperança;  3 560 ;  1 831 ;  1 729 ;  1 793 ;   911 ;   882 ;  1 767 ;   920 ;   847 ;350220008;;;;;;;;
Anhembi;  5 653 ;  2 909 ;  2 744 ;  4 271 ;  2 152 ;  2 119 ;  1 382 ;   757 ;   625 ;3502309;;;;;;;;
Anhembi;  4 260 ;  2 170 ;  2 090 ;  3 602 ;  1 814 ;  1 788 ;   658 ;   356 ;   302 ;350230905;;;;;;;;
Pirambóia;  1 393 ;   739 ;   654 ;   669 ;   338 ;   331 ;   724 ;   401 ;   323 ;350230910;;;;;;;;
Anhumas;  3 738 ;  1 863 ;  1 875 ;  3 059 ;  1 500 ;  1 559 ;   679 ;   363 ;   316 ;3502408;;;;;;;;
Anhumas;  3 738 ;  1 863 ;  1 875 ;  3 059 ;  1 500 ;  1 559 ;   679 ;   363 ;   316 ;350240805;;;;;;;;
Aparecida;  35 007 ;  16 898 ;  18 109 ;  34 498 ;  16 623 ;  17 875 ;   509 ;   275 ;   234 ;3502507;;;;;;;;
Aparecida;  35 007 ;  16 898 ;  18 109 ;  34 498 ;  16 623 ;  17 875 ;   509 ;   275 ;   234 ;350250705;;;;;;;;
Aparecida d'Oeste;  4 450 ;  2 177 ;  2 273 ;  3 645 ;  1 757 ;  1 888 ;   805 ;   420 ;   385 ;3502606;;;;;;;;
Aparecida d'Oeste;  4 450 ;  2 177 ;  2 273 ;  3 645 ;  1 757 ;  1 888 ;   805 ;   420 ;   385 ;350260605;;;;;;;;
Apiaí;  25 191 ;  12 577 ;  12 614 ;  18 218 ;  8 928 ;  9 290 ;  6 973 ;  3 649 ;  3 324 ;3502705;;;;;;;;
Apiaí;  19 109 ;  9 418 ;  9 691 ;  14 410 ;  6 959 ;  7 451 ;  4 699 ;  2 459 ;  2 240 ;350270505;;;;;;;;
Araçaíba;  1 622 ;   833 ;   789 ;   945 ;   485 ;   460 ;   677 ;   348 ;   329 ;350270510;;;;;;;;
