Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Lageado de Araçaíba;  3 161 ;  1 622 ;  1 539 ;  2 023 ;  1 027 ;   996 ;  1 138 ;   595 ;   543 ;350270525;;;;;;;;
Palmitalzinho;  1 299 ;   704 ;   595 ;   840 ;   457 ;   383 ;   459 ;   247 ;   212 ;350270530;;;;;;;;
Araçariguama;  17 080 ;  8 697 ;  8 383 ;  17 080 ;  8 697 ;  8 383 ;- ;- ;- ;3502754;;;;;;;;
Araçariguama;  17 080 ;  8 697 ;  8 383 ;  17 080 ;  8 697 ;  8 383 ;- ;- ;- ;350275405;;;;;;;;
Araçatuba;  181 579 ;  87 329 ;  94 250 ;  178 077 ;  85 466 ;  92 611 ;  3 502 ;  1 863 ;  1 639 ;3502804;;;;;;;;
Araçatuba;  181 579 ;  87 329 ;  94 250 ;  178 077 ;  85 466 ;  92 611 ;  3 502 ;  1 863 ;  1 639 ;350280405;;;;;;;;
Araçoiaba da Serra;  27 299 ;  13 607 ;  13 692 ;  18 764 ;  9 230 ;  9 534 ;  8 535 ;  4 377 ;  4 158 ;3502903;;;;;;;;
Araçoiaba da Serra;  27 299 ;  13 607 ;  13 692 ;  18 764 ;  9 230 ;  9 534 ;  8 535 ;  4 377 ;  4 158 ;350290305;;;;;;;;
Aramina;  5 152 ;  2 589 ;  2 563 ;  4 816 ;  2 396 ;  2 420 ;   336 ;   193 ;   143 ;3503000;;;;;;;;
Aramina;  5 152 ;  2 589 ;  2 563 ;  4 816 ;  2 396 ;  2 420 ;   336 ;   193 ;   143 ;350300005;;;;;;;;
Arandu;  6 123 ;  3 088 ;  3 035 ;  4 614 ;  2 265 ;  2 349 ;  1 509 ;   823 ;   686 ;3503109;;;;;;;;
Arandu;  6 123 ;  3 088 ;  3 035 ;  4 614 ;  2 265 ;  2 349 ;  1 509 ;   823 ;   686 ;350310905;;;;;;;;
Arapeí;  2 493 ;  1 255 ;  1 238 ;  1 875 ;   920 ;   955 ;   618 ;   335 ;   283 ;3503158;;;;;;;;
Arapeí;  2 493 ;  1 255 ;  1 238 ;  1 875 ;   920 ;   955 ;   618 ;   335 ;   283 ;350315805;;;;;;;;
Araraquara;  208 662 ;  100 655 ;  108 007 ;  202 730 ;  97 508 ;  105 222 ;  5 932 ;  3 147 ;  2 785 ;3503208;;;;;;;;
Araraquara;  147 246 ;  70 599 ;  76 647 ;  143 431 ;  68 658 ;  74 773 ;  3 815 ;  1 941 ;  1 874 ;350320805;;;;;;;;
Bueno de Andrada;  1 695 ;   916 ;   779 ;   242 ;   133 ;   109 ;  1 453 ;   783 ;   670 ;350320810;;;;;;;;
Vila Xavier;  59 721 ;  29 140 ;  30 581 ;  59 057 ;  28 717 ;  30 340 ;   664 ;   423 ;   241 ;350320825;;;;;;;;
Araras;  118 843 ;  58 688 ;  60 155 ;  112 444 ;  55 341 ;  57 103 ;  6 399 ;  3 347 ;  3 052 ;3503307;;;;;;;;
Araras;  118 843 ;  58 688 ;  60 155 ;  112 444 ;  55 341 ;  57 103 ;  6 399 ;  3 347 ;  3 052 ;350330705;;;;;;;;
Arco-Íris;  1 925 ;   971 ;   954 ;  1 097 ;   536 ;   561 ;   828 ;   435 ;   393 ;3503356;;;;;;;;
Arco-Íris;  1 925 ;   971 ;   954 ;  1 097 ;   536 ;   561 ;   828 ;   435 ;   393 ;350335605;;;;;;;;
Arealva;  7 841 ;  3 997 ;  3 844 ;  6 176 ;  3 085 ;  3 091 ;  1 665 ;   912 ;   753 ;3503406;;;;;;;;
Arealva;  6 395 ;  3 224 ;  3 171 ;  5 302 ;  2 638 ;  2 664 ;  1 093 ;   586 ;   507 ;350340605;;;;;;;;
Jacuba;  1 446 ;   773 ;   673 ;   874 ;   447 ;   427 ;   572 ;   326 ;   246 ;350340610;;;;;;;;
Areias;  3 696 ;  1 831 ;  1 865 ;  2 478 ;  1 193 ;  1 285 ;  1 218 ;   638 ;   580 ;3503505;;;;;;;;
Areias;  3 696 ;  1 831 ;  1 865 ;  2 478 ;  1 193 ;  1 285 ;  1 218 ;   638 ;   580 ;350350505;;;;;;;;
Areiópolis;  10 579 ;  5 453 ;  5 126 ;  9 401 ;  4 821 ;  4 580 ;  1 178 ;   632 ;   546 ;3503604;;;;;;;;
Areiópolis;  10 579 ;  5 453 ;  5 126 ;  9 401 ;  4 821 ;  4 580 ;  1 178 ;   632 ;   546 ;350360405;;;;;;;;
Ariranha;  8 547 ;  4 366 ;  4 181 ;  8 094 ;  4 119 ;  3 975 ;   453 ;   247 ;   206 ;3503703;;;;;;;;
Ariranha;  8 547 ;  4 366 ;  4 181 ;  8 094 ;  4 119 ;  3 975 ;   453 ;   247 ;   206 ;350370305;;;;;;;;
Artur Nogueira;  44 177 ;  22 075 ;  22 102 ;  39 998 ;  19 896 ;  20 102 ;  4 179 ;  2 179 ;  2 000 ;3503802;;;;;;;;
Artur Nogueira;  44 177 ;  22 075 ;  22 102 ;  39 998 ;  19 896 ;  20 102 ;  4 179 ;  2 179 ;  2 000 ;350380205;;;;;;;;
Arujá;  74 905 ;  36 939 ;  37 966 ;  71 916 ;  35 341 ;  36 575 ;  2 989 ;  1 598 ;  1 391 ;3503901;;;;;;;;
Arujá;  74 905 ;  36 939 ;  37 966 ;  71 916 ;  35 341 ;  36 575 ;  2 989 ;  1 598 ;  1 391 ;350390105;;;;;;;;
Aspásia;  1 809 ;   907 ;   902 ;  1 257 ;   623 ;   634 ;   552 ;   284 ;   268 ;3503950;;;;;;;;
Aspásia;  1 809 ;   907 ;   902 ;  1 257 ;   623 ;   634 ;   552 ;   284 ;   268 ;350395005;;;;;;;;
Assis;  95 144 ;  46 317 ;  48 827 ;  90 991 ;  43 390 ;  47 601 ;  4 153 ;  2 927 ;  1 226 ;3504008;;;;;;;;
Assis;  95 144 ;  46 317 ;  48 827 ;  90 991 ;  43 390 ;  47 601 ;  4 153 ;  2 927 ;  1 226 ;350400805;;;;;;;;
Atibaia;  126 603 ;  62 211 ;  64 392 ;  115 229 ;  56 235 ;  58 994 ;  11 374 ;  5 976 ;  5 398 ;3504107;;;;;;;;
Atibaia;  126 603 ;  62 211 ;  64 392 ;  115 229 ;  56 235 ;  58 994 ;  11 374 ;  5 976 ;  5 398 ;350410705;;;;;;;;
Auriflama;  14 202 ;  7 102 ;  7 100 ;  12 948 ;  6 442 ;  6 506 ;  1 254 ;   660 ;   594 ;3504206;;;;;;;;
Auriflama;  14 202 ;  7 102 ;  7 100 ;  12 948 ;  6 442 ;  6 506 ;  1 254 ;   660 ;   594 ;350420605;;;;;;;;
Avaí;  4 959 ;  2 506 ;  2 453 ;  3 330 ;  1 626 ;  1 704 ;  1 629 ;   880 ;   749 ;3504305;;;;;;;;
Avaí;  4 494 ;  2 254 ;  2 240 ;  3 304 ;  1 611 ;  1 693 ;  1 190 ;   643 ;   547 ;350430505;;;;;;;;
Nogueira;   465 ;   252 ;   213 ;   26 ;   15 ;   11 ;   439 ;   237 ;   202 ;350430510;;;;;;;;
Avanhandava;  11 310 ;  6 249 ;  5 061 ;  9 563 ;  4 764 ;  4 799 ;  1 747 ;  1 485 ;   262 ;3504404;;;;;;;;
Avanhandava;  11 310 ;  6 249 ;  5 061 ;  9 563 ;  4 764 ;  4 799 ;  1 747 ;  1 485 ;   262 ;350440405;;;;;;;;
Avaré;  82 934 ;  41 136 ;  41 798 ;  79 391 ;  39 169 ;  40 222 ;  3 543 ;  1 967 ;  1 576 ;3504503;;;;;;;;
Avaré;  82 934 ;  41 136 ;  41 798 ;  79 391 ;  39 169 ;  40 222 ;  3 543 ;  1 967 ;  1 576 ;350450305;;;;;;;;
Bady Bassitt;  14 603 ;  7 249 ;  7 354 ;  13 659 ;  6 754 ;  6 905 ;   944 ;   495 ;   449 ;3504602;;;;;;;;
Bady Bassitt;  14 603 ;  7 249 ;  7 354 ;  13 659 ;  6 754 ;  6 905 ;   944 ;   495 ;   449 ;350460205;;;;;;;;
Balbinos;  3 702 ;  3 002 ;   700 ;  1 191 ;   580 ;   611 ;  2 511 ;  2 422 ;   89 ;3504701;;;;;;;;
Balbinos;  3 702 ;  3 002 ;   700 ;  1 191 ;   580 ;   611 ;  2 511 ;  2 422 ;   89 ;350470105;;;;;;;;
Bálsamo;  8 160 ;  3 998 ;  4 162 ;  7 474 ;  3 626 ;  3 848 ;   686 ;   372 ;   314 ;3504800;;;;;;;;
Bálsamo;  8 160 ;  3 998 ;  4 162 ;  7 474 ;  3 626 ;  3 848 ;   686 ;   372 ;   314 ;350480005;;;;;;;;
Bananal;  10 223 ;  5 051 ;  5 172 ;  8 157 ;  3 941 ;  4 216 ;  2 066 ;  1 110 ;   956 ;3504909;;;;;;;;
Bananal;  10 223 ;  5 051 ;  5 172 ;  8 157 ;  3 941 ;  4 216 ;  2 066 ;  1 110 ;   956 ;350490905;;;;;;;;
Barão de Antonina;  3 116 ;  1 591 ;  1 525 ;  1 913 ;   960 ;   953 ;  1 203 ;   631 ;   572 ;3505005;;;;;;;;
Barão de Antonina;  3 116 ;  1 591 ;  1 525 ;  1 913 ;   960 ;   953 ;  1 203 ;   631 ;   572 ;350500505;;;;;;;;
Barbosa;  6 593 ;  3 323 ;  3 270 ;  5 575 ;  2 774 ;  2 801 ;  1 018 ;   549 ;   469 ;3505104;;;;;;;;
Barbosa;  6 593 ;  3 323 ;  3 270 ;  5 575 ;  2 774 ;  2 801 ;  1 018 ;   549 ;   469 ;350510405;;;;;;;;
Bariri;  31 593 ;  15 816 ;  15 777 ;  29 975 ;  14 958 ;  15 017 ;  1 618 ;   858 ;   760 ;3505203;;;;;;;;
Bariri;  31 593 ;  15 816 ;  15 777 ;  29 975 ;  14 958 ;  15 017 ;  1 618 ;   858 ;   760 ;350520305;;;;;;;;
Barra Bonita;  35 246 ;  17 252 ;  17 994 ;  34 507 ;  16 867 ;  17 640 ;   739 ;   385 ;   354 ;3505302;;;;;;;;
Barra Bonita;  35 246 ;  17 252 ;  17 994 ;  34 507 ;  16 867 ;  17 640 ;   739 ;   385 ;   354 ;350530205;;;;;;;;
Barra do Chapéu;  5 244 ;  2 770 ;  2 474 ;  1 544 ;   783 ;   761 ;  3 700 ;  1 987 ;  1 713 ;3505351;;;;;;;;
Barra do Chapéu;  5 244 ;  2 770 ;  2 474 ;  1 544 ;   783 ;   761 ;  3 700 ;  1 987 ;  1 713 ;350535105;;;;;;;;
Barra do Turvo;  7 729 ;  4 050 ;  3 679 ;  3 174 ;  1 601 ;  1 573 ;  4 555 ;  2 449 ;  2 106 ;3505401;;;;;;;;
Barra do Turvo;  7 729 ;  4 050 ;  3 679 ;  3 174 ;  1 601 ;  1 573 ;  4 555 ;  2 449 ;  2 106 ;350540105;;;;;;;;
Barretos;  112 101 ;  54 169 ;  57 932 ;  108 686 ;  52 342 ;  56 344 ;  3 415 ;  1 827 ;  1 588 ;3505500;;;;;;;;
Alberto Moreira;   724 ;   412 ;   312 ;   166 ;   81 ;   85 ;   558 ;   331 ;   227 ;350550010;;;;;;;;
Barretos;  109 558 ;  52 795 ;  56 763 ;  108 174 ;  52 073 ;  56 101 ;  1 384 ;   722 ;   662 ;350550005;;;;;;;;
Ibitu;  1 819 ;   962 ;   857 ;   346 ;   188 ;   158 ;  1 473 ;   774 ;   699 ;350550015;;;;;;;;
Barrinha;  28 496 ;  14 321 ;  14 175 ;  28 180 ;  14 134 ;  14 046 ;   316 ;   187 ;   129 ;3505609;;;;;;;;
Barrinha;  28 496 ;  14 321 ;  14 175 ;  28 180 ;  14 134 ;  14 046 ;   316 ;   187 ;   129 ;350560905;;;;;;;;
Barueri;  240 749 ;  117 051 ;  123 698 ;  240 749 ;  117 051 ;  123 698 ;- ;- ;- ;3505708;;;;;;;;
Aldeia;  44 843 ;  21 778 ;  23 065 ;  44 843 ;  21 778 ;  23 065 ;- ;- ;- ;350570810;;;;;;;;
Barueri;  112 726 ;  54 658 ;  58 068 ;  112 726 ;  54 658 ;  58 068 ;- ;- ;- ;350570805;;;;;;;;
Jardim Belval;  24 231 ;  11 881 ;  12 350 ;  24 231 ;  11 881 ;  12 350 ;- ;- ;- ;350570815;;;;;;;;
Jardim Silveira;  58 949 ;  28 734 ;  30 215 ;  58 949 ;  28 734 ;  30 215 ;- ;- ;- ;350570820;;;;;;;;
Bastos;  20 445 ;  10 032 ;  10 413 ;  17 608 ;  8 561 ;  9 047 ;  2 837 ;  1 471 ;  1 366 ;3505807;;;;;;;;
Bastos;  20 445 ;  10 032 ;  10 413 ;  17 608 ;  8 561 ;  9 047 ;  2 837 ;  1 471 ;  1 366 ;350580705;;;;;;;;
Batatais;  56 476 ;  27 744 ;  28 732 ;  49 945 ;  24 331 ;  25 614 ;  6 531 ;  3 413 ;  3 118 ;3505906;;;;;;;;
Batatais;  56 476 ;  27 744 ;  28 732 ;  49 945 ;  24 331 ;  25 614 ;  6 531 ;  3 413 ;  3 118 ;350590605;;;;;;;;
Bauru;  343 937 ;  166 649 ;  177 288 ;  338 184 ;  162 053 ;  176 131 ;  5 753 ;  4 596 ;  1 157 ;3506003;;;;;;;;
Bauru;  342 453 ;  165 888 ;  176 565 ;  337 180 ;  161 548 ;  175 632 ;  5 273 ;  4 340 ;   933 ;350600305;;;;;;;;
Tibiriçá;  1 484 ;   761 ;   723 ;  1 004 ;   505 ;   499 ;   480 ;   256 ;   224 ;350600310;;;;;;;;
Bebedouro;  75 035 ;  36 529 ;  38 506 ;  71 503 ;  34 674 ;  36 829 ;  3 532 ;  1 855 ;  1 677 ;3506102;;;;;;;;
Bebedouro;  72 672 ;  35 335 ;  37 337 ;  70 092 ;  33 958 ;  36 134 ;  2 580 ;  1 377 ;  1 203 ;350610205;;;;;;;;
Botafogo;  1 646 ;   828 ;   818 ;  1 005 ;   503 ;   502 ;   641 ;   325 ;   316 ;350610210;;;;;;;;
Turvínia;   717 ;   366 ;   351 ;   406 ;   213 ;   193 ;   311 ;   153 ;   158 ;350610215;;;;;;;;
Bento de Abreu;  2 674 ;  1 364 ;  1 310 ;  2 444 ;  1 239 ;  1 205 ;   230 ;   125 ;   105 ;3506201;;;;;;;;
Bento de Abreu;  2 674 ;  1 364 ;  1 310 ;  2 444 ;  1 239 ;  1 205 ;   230 ;   125 ;   105 ;350620105;;;;;;;;
Bernardino de Campos;  10 775 ;  5 250 ;  5 525 ;  9 658 ;  4 663 ;  4 995 ;  1 117 ;   587 ;   530 ;3506300;;;;;;;;
Bernardino de Campos;  10 775 ;  5 250 ;  5 525 ;  9 658 ;  4 663 ;  4 995 ;  1 117 ;   587 ;   530 ;350630005;;;;;;;;
Bertioga;  47 645 ;  23 829 ;  23 816 ;  46 867 ;  23 426 ;  23 441 ;   778 ;   403 ;   375 ;3506359;;;;;;;;
Bertioga;  47 645 ;  23 829 ;  23 816 ;  46 867 ;  23 426 ;  23 441 ;   778 ;   403 ;   375 ;350635905;;;;;;;;
Bilac;  7 048 ;  3 491 ;  3 557 ;  6 481 ;  3 180 ;  3 301 ;   567 ;   311 ;   256 ;3506409;;;;;;;;
Bilac;  7 048 ;  3 491 ;  3 557 ;  6 481 ;  3 180 ;  3 301 ;   567 ;   311 ;   256 ;350640905;;;;;;;;
Birigui;  108 728 ;  53 075 ;  55 653 ;  105 487 ;  51 249 ;  54 238 ;  3 241 ;  1 826 ;  1 415 ;3506508;;;;;;;;
Birigui;  108 728 ;  53 075 ;  55 653 ;  105 487 ;  51 249 ;  54 238 ;  3 241 ;  1 826 ;  1 415 ;350650805;;;;;;;;
Biritiba-Mirim;  28 575 ;  14 413 ;  14 162 ;  24 525 ;  12 322 ;  12 203 ;  4 050 ;  2 091 ;  1 959 ;3506607;;;;;;;;
Biritiba-Mirim;  28 575 ;  14 413 ;  14 162 ;  24 525 ;  12 322 ;  12 203 ;  4 050 ;  2 091 ;  1 959 ;350660705;;;;;;;;
Boa Esperança do Sul;  13 645 ;  6 875 ;  6 770 ;  12 184 ;  6 104 ;  6 080 ;  1 461 ;   771 ;   690 ;3506706;;;;;;;;
Boa Esperança do Sul;  13 645 ;  6 875 ;  6 770 ;  12 184 ;  6 104 ;  6 080 ;  1 461 ;   771 ;   690 ;350670605;;;;;;;;
Bocaina;  10 859 ;  5 409 ;  5 450 ;  10 006 ;  4 981 ;  5 025 ;   853 ;   428 ;   425 ;3506805;;;;;;;;
Bocaina;  10 859 ;  5 409 ;  5 450 ;  10 006 ;  4 981 ;  5 025 ;   853 ;   428 ;   425 ;350680505;;;;;;;;
Bofete;  9 618 ;  4 906 ;  4 712 ;  6 132 ;  3 027 ;  3 105 ;  3 486 ;  1 879 ;  1 607 ;3506904;;;;;;;;
Bofete;  9 031 ;  4 589 ;  4 442 ;  5 992 ;  2 951 ;  3 041 ;  3 039 ;  1 638 ;  1 401 ;350690405;;;;;;;;
São Roque Novo;   587 ;   317 ;   270 ;   140 ;   76 ;   64 ;   447 ;   241 ;   206 ;350690410;;;;;;;;
Boituva;  48 314 ;  24 313 ;  24 001 ;  45 448 ;  22 778 ;  22 670 ;  2 866 ;  1 535 ;  1 331 ;3507001;;;;;;;;
Boituva;  48 314 ;  24 313 ;  24 001 ;  45 448 ;  22 778 ;  22 670 ;  2 866 ;  1 535 ;  1 331 ;350700105;;;;;;;;
Bom Jesus dos Perdões;  19 708 ;  9 922 ;  9 786 ;  17 376 ;  8 677 ;  8 699 ;  2 332 ;  1 245 ;  1 087 ;3507100;;;;;;;;
Bom Jesus dos Perdões;  19 708 ;  9 922 ;  9 786 ;  17 376 ;  8 677 ;  8 699 ;  2 332 ;  1 245 ;  1 087 ;350710005;;;;;;;;
Bom Sucesso de Itararé;  3 571 ;  1 816 ;  1 755 ;  2 430 ;  1 212 ;  1 218 ;  1 141 ;   604 ;   537 ;3507159;;;;;;;;
Bom Sucesso de Itararé;  3 571 ;  1 816 ;  1 755 ;  2 430 ;  1 212 ;  1 218 ;  1 141 ;   604 ;   537 ;350715905;;;;;;;;
Borá;   805 ;   422 ;   383 ;   627 ;   320 ;   307 ;   178 ;   102 ;   76 ;3507209;;;;;;;;
Borá;   805 ;   422 ;   383 ;   627 ;   320 ;   307 ;   178 ;   102 ;   76 ;350720905;;;;;;;;
Boracéia;  4 268 ;  2 178 ;  2 090 ;  3 827 ;  1 949 ;  1 878 ;   441 ;   229 ;   212 ;3507308;;;;;;;;
Boracéia;  4 268 ;  2 178 ;  2 090 ;  3 827 ;  1 949 ;  1 878 ;   441 ;   229 ;   212 ;350730805;;;;;;;;
Borborema;  14 529 ;  7 350 ;  7 179 ;  13 095 ;  6 580 ;  6 515 ;  1 434 ;   770 ;   664 ;3507407;;;;;;;;
Borborema;  14 529 ;  7 350 ;  7 179 ;  13 095 ;  6 580 ;  6 515 ;  1 434 ;   770 ;   664 ;350740705;;;;;;;;
Borebi;  2 293 ;  1 143 ;  1 150 ;  2 000 ;   978 ;  1 022 ;   293 ;   165 ;   128 ;3507456;;;;;;;;
Borebi;  2 293 ;  1 143 ;  1 150 ;  2 000 ;   978 ;  1 022 ;   293 ;   165 ;   128 ;350745605;;;;;;;;
Botucatu;  127 328 ;  61 761 ;  65 567 ;  122 678 ;  59 366 ;  63 312 ;  4 650 ;  2 395 ;  2 255 ;3507506;;;;;;;;
Botucatu;  117 724 ;  56 834 ;  60 890 ;  114 948 ;  55 403 ;  59 545 ;  2 776 ;  1 431 ;  1 345 ;350750605;;;;;;;;
Rubião Júnior;  6 474 ;  3 307 ;  3 167 ;  4 886 ;  2 496 ;  2 390 ;  1 588 ;   811 ;   777 ;350750610;;;;;;;;
Vitoriana;  3 130 ;  1 620 ;  1 510 ;  2 844 ;  1 467 ;  1 377 ;   286 ;   153 ;   133 ;350750615;;;;;;;;
Bragança Paulista;  146 744 ;  72 081 ;  74 663 ;  142 255 ;  69 700 ;  72 555 ;  4 489 ;  2 381 ;  2 108 ;3507605;;;;;;;;
Bragança Paulista;  146 744 ;  72 081 ;  74 663 ;  142 255 ;  69 700 ;  72 555 ;  4 489 ;  2 381 ;  2 108 ;350760505;;;;;;;;
Braúna;  5 021 ;  2 552 ;  2 469 ;  4 390 ;  2 207 ;  2 183 ;   631 ;   345 ;   286 ;3507704;;;;;;;;
Braúna;  5 021 ;  2 552 ;  2 469 ;  4 390 ;  2 207 ;  2 183 ;   631 ;   345 ;   286 ;350770405;;;;;;;;
Brejo Alegre;  2 573 ;  1 330 ;  1 243 ;  2 110 ;  1 084 ;  1 026 ;   463 ;   246 ;   217 ;3507753;;;;;;;;
Brejo Alegre;  2 573 ;  1 330 ;  1 243 ;  2 110 ;  1 084 ;  1 026 ;   463 ;   246 ;   217 ;350775305;;;;;;;;
Brodowski;  21 107 ;  10 465 ;  10 642 ;  20 597 ;  10 194 ;  10 403 ;   510 ;   271 ;   239 ;3507803;;;;;;;;
Brodowski;  21 107 ;  10 465 ;  10 642 ;  20 597 ;  10 194 ;  10 403 ;   510 ;   271 ;   239 ;350780305;;;;;;;;
Brotas;  21 580 ;  10 711 ;  10 869 ;  18 599 ;  9 172 ;  9 427 ;  2 981 ;  1 539 ;  1 442 ;3507902;;;;;;;;
Brotas;  20 630 ;  10 227 ;  10 403 ;  17 915 ;  8 825 ;  9 090 ;  2 715 ;  1 402 ;  1 313 ;350790205;;;;;;;;
São Sebastião da Serra;   950 ;   484 ;   466 ;   684 ;   347 ;   337 ;   266 ;   137 ;   129 ;350790210;;;;;;;;
Buri;  18 563 ;  9 501 ;  9 062 ;  14 992 ;  7 611 ;  7 381 ;  3 571 ;  1 890 ;  1 681 ;3508009;;;;;;;;
Aracaçu;   706 ;   370 ;   336 ;   163 ;   84 ;   79 ;   543 ;   286 ;   257 ;350800910;;;;;;;;
Buri;  17 857 ;  9 131 ;  8 726 ;  14 829 ;  7 527 ;  7 302 ;  3 028 ;  1 604 ;  1 424 ;350800905;;;;;;;;
Buritama;  15 418 ;  7 732 ;  7 686 ;  14 526 ;  7 257 ;  7 269 ;   892 ;   475 ;   417 ;3508108;;;;;;;;
Buritama;  15 418 ;  7 732 ;  7 686 ;  14 526 ;  7 257 ;  7 269 ;   892 ;   475 ;   417 ;350810805;;;;;;;;
Buritizal;  4 053 ;  2 073 ;  1 980 ;  3 306 ;  1 657 ;  1 649 ;   747 ;   416 ;   331 ;3508207;;;;;;;;
Buritizal;  4 053 ;  2 073 ;  1 980 ;  3 306 ;  1 657 ;  1 649 ;   747 ;   416 ;   331 ;350820705;;;;;;;;
Cabrália Paulista;  4 365 ;  2 220 ;  2 145 ;  3 777 ;  1 888 ;  1 889 ;   588 ;   332 ;   256 ;3508306;;;;;;;;
Cabrália Paulista;  4 365 ;  2 220 ;  2 145 ;  3 777 ;  1 888 ;  1 889 ;   588 ;   332 ;   256 ;350830605;;;;;;;;
Cabreúva;  41 604 ;  21 080 ;  20 524 ;  35 261 ;  17 799 ;  17 462 ;  6 343 ;  3 281 ;  3 062 ;3508405;;;;;;;;
Bom Fim do Bom Jesus;  4 054 ;  2 112 ;  1 942 ;   696 ;   354 ;   342 ;  3 358 ;  1 758 ;  1 600 ;350840510;;;;;;;;
Cabreúva;  7 358 ;  3 719 ;  3 639 ;  5 876 ;  2 948 ;  2 928 ;  1 482 ;   771 ;   711 ;350840505;;;;;;;;
Jacaré;  30 192 ;  15 249 ;  14 943 ;  28 689 ;  14 497 ;  14 192 ;  1 503 ;   752 ;   751 ;350840520;;;;;;;;
Caçapava;  84 752 ;  41 996 ;  42 756 ;  72 517 ;  35 580 ;  36 937 ;  12 235 ;  6 416 ;  5 819 ;3508504;;;;;;;;
Caçapava;  84 752 ;  41 996 ;  42 756 ;  72 517 ;  35 580 ;  36 937 ;  12 235 ;  6 416 ;  5 819 ;350850405;;;;;;;;
Cachoeira Paulista;  30 091 ;  14 749 ;  15 342 ;  24 572 ;  11 832 ;  12 740 ;  5 519 ;  2 917 ;  2 602 ;3508603;;;;;;;;
Cachoeira Paulista;  30 091 ;  14 749 ;  15 342 ;  24 572 ;  11 832 ;  12 740 ;  5 519 ;  2 917 ;  2 602 ;350860305;;;;;;;;
Caconde;  18 538 ;  9 285 ;  9 253 ;  12 639 ;  6 111 ;  6 528 ;  5 899 ;  3 174 ;  2 725 ;3508702;;;;;;;;
Barrânia;  1 796 ;   936 ;   860 ;  1 024 ;   515 ;   509 ;   772 ;   421 ;   351 ;350870210;;;;;;;;
Caconde;  16 742 ;  8 349 ;  8 393 ;  11 615 ;  5 596 ;  6 019 ;  5 127 ;  2 753 ;  2 374 ;350870205;;;;;;;;
Cafelândia;  16 607 ;  8 174 ;  8 433 ;  14 426 ;  7 023 ;  7 403 ;  2 181 ;  1 151 ;  1 030 ;3508801;;;;;;;;
Bacuriti;   985 ;   508 ;   477 ;   812 ;   417 ;   395 ;   173 ;   91 ;   82 ;350880110;;;;;;;;
Cafelândia;  14 298 ;  6 974 ;  7 324 ;  12 724 ;  6 143 ;  6 581 ;  1 574 ;   831 ;   743 ;350880105;;;;;;;;
Cafesópolis;   104 ;   54 ;   50 ;   26 ;   15 ;   11 ;   78 ;   39 ;   39 ;350880115;;;;;;;;
Simões;  1 220 ;   638 ;   582 ;   864 ;   448 ;   416 ;   356 ;   190 ;   166 ;350880120;;;;;;;;
Caiabu;  4 072 ;  2 091 ;  1 981 ;  3 315 ;  1 686 ;  1 629 ;   757 ;   405 ;   352 ;3508900;;;;;;;;
Boa Esperança d'Oeste;   254 ;   136 ;   118 ;   199 ;   106 ;   93 ;   55 ;   30 ;   25 ;350890010;;;;;;;;
Caiabu;  3 033 ;  1 558 ;  1 475 ;  2 389 ;  1 212 ;  1 177 ;   644 ;   346 ;   298 ;350890005;;;;;;;;
Iubatinga;   785 ;   397 ;   388 ;   727 ;   368 ;   359 ;   58 ;   29 ;   29 ;350890015;;;;;;;;
Caieiras;  86 529 ;  42 298 ;  44 231 ;  84 386 ;  41 214 ;  43 172 ;  2 143 ;  1 084 ;  1 059 ;3509007;;;;;;;;
Caieiras;  86 529 ;  42 298 ;  44 231 ;  84 386 ;  41 214 ;  43 172 ;  2 143 ;  1 084 ;  1 059 ;350900705;;;;;;;;
Caiuá;  5 039 ;  2 652 ;  2 387 ;  1 930 ;   947 ;   983 ;  3 109 ;  1 705 ;  1 404 ;3509106;;;;;;;;
Caiuá;  5 039 ;  2 652 ;  2 387 ;  1 930 ;   947 ;   983 ;  3 109 ;  1 705 ;  1 404 ;350910605;;;;;;;;
Cajamar;  64 114 ;  31 997 ;  32 117 ;  62 823 ;  31 326 ;  31 497 ;  1 291 ;   671 ;   620 ;3509205;;;;;;;;
Cajamar;  11 589 ;  5 870 ;  5 719 ;  11 326 ;  5 734 ;  5 592 ;   263 ;   136 ;   127 ;350920505;;;;;;;;
Jordanésia;  25 341 ;  12 620 ;  12 721 ;  24 313 ;  12 085 ;  12 228 ;  1 028 ;   535 ;   493 ;350920510;;;;;;;;
Polvilho;  27 184 ;  13 507 ;  13 677 ;  27 184 ;  13 507 ;  13 677 ;- ;- ;- ;350920515;;;;;;;;
Cajati;  28 372 ;  14 328 ;  14 044 ;  20 720 ;  10 331 ;  10 389 ;  7 652 ;  3 997 ;  3 655 ;3509254;;;;;;;;
