"","Região","Subsetor","Trabalhadores"
"389","Centro","Comércio varejista",2
"390","Centro","Ensino",5
"391","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"392","Centro","Comércio varejista",8
"393","Centro","Comércio varejista",2
"394","Centro","Comércio varejista",4
"395","Centro","Comércio varejista",2
"396","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"397","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"398","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"399","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"400","Centro","Comércio varejista",1
"401","Centro","Serviços médicos, odontológicos e veterinários",2
"402","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"403","Centro","Ensino",6
"404","Centro","Comércio varejista",0
"405","Centro","Instituiçoes de crédito, seguros e capitalizaçao",0
"406","Centro","Ensino",2
"407","Centro","Comércio varejista",2
"408","Centro","Comércio varejista",5
"409","Centro","Ensino",2
"410","Centro","Comércio varejista",1
"411","Centro","Comércio varejista",3
"412","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"413","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",5
"414","Centro","Serviços médicos, odontológicos e veterinários",18
"415","Centro","Comércio varejista",10
"416","Centro","Comércio varejista",2
"417","Centro","Ensino",4
"418","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"419","Centro","Serviços médicos, odontológicos e veterinários",0
"420","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"421","Centro","Comércio varejista",1
"422","Centro","Comércio varejista",2
"423","Centro","Indústria de produtos alimentícios, bebidas e álcool etílico",1
"424","Centro","Instituiçoes de crédito, seguros e capitalizaçao",3
"425","Centro","Serviços médicos, odontológicos e veterinários",1
"426","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"427","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"428","Centro","Comércio varejista",1
"429","Centro","Construçao civil",1
"430","Centro","Comércio varejista",1
"431","Centro","Comércio varejista",1
"432","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"433","Centro","Comércio varejista",4
"434","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"435","Centro","Comércio varejista",0
"436","Centro","Serviços médicos, odontológicos e veterinários",1
"437","Centro","Comércio varejista",1
"438","Centro","Indústria de produtos alimentícios, bebidas e álcool etílico",3
"439","Centro","Comércio varejista",2
"440","Centro","Ensino",1
"441","Centro","Comércio varejista",0
"442","Centro","Construçao civil",2
"443","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"444","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"445","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"446","Centro","Serviços médicos, odontológicos e veterinários",0
"447","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"448","Centro","Ensino",1
"449","Centro","Comércio varejista",3
"450","Centro","Comércio varejista",5
"451","Centro","Serviços médicos, odontológicos e veterinários",1
"452","Centro","Comércio varejista",1
"453","Centro","Comércio varejista",0
"454","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",7
"455","Centro","Comércio varejista",1
"456","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"457","Centro","Comércio varejista",6
"458","Centro","Serviços médicos, odontológicos e veterinários",1
"459","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",23
"460","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",5
"461","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"462","Centro","Construçao civil",0
"463","Centro","Comércio varejista",1
"464","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"465","Centro","Comércio varejista",1
"466","Centro","Comércio varejista",1
"467","Centro","Comércio varejista",0
"468","Centro","Comércio atacadista",1
"469","Centro","Serviços médicos, odontológicos e veterinários",1
"470","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"471","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"472","Centro","Ensino",1
"473","Centro","Comércio varejista",2
"474","Centro","Comércio varejista",5
"475","Centro","Comércio varejista",7
"476","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"477","Centro","Comércio varejista",3
"478","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"479","Centro","Comércio varejista",1
"480","Centro","Comércio varejista",6
"481","Centro","Comércio atacadista",3
"482","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"483","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"484","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",6
"485","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"486","Centro","Comércio varejista",3
"487","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",11
"488","Centro","Comércio varejista",3
"489","Centro","Comércio varejista",5
"490","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"491","Centro","Comércio varejista",3
"492","Centro","Comércio varejista",2
"493","Centro","Comércio varejista",3
"494","Centro","Comércio varejista",1
"495","Centro","Comércio varejista",1
"496","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"497","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",11
